iter	Passed	Remaining
455	895	1068
456	897	1066
457	899	1064
458	901	1062
459	903	1060
460	907	1060
461	909	1058
462	910	1056
463	912	1054
464	914	1051
465	915	1049
466	917	1047
467	919	1045
468	921	1043
469	924	1042
470	926	1040
471	935	1045
472	936	1043
473	940	1044
474	943	1043
475	948	1043
476	956	1048
477	961	1049
478	963	1047
479	965	1045
480	969	1045
481	971	1044
482	973	1042
483	976	1040
484	978	1038
485	979	1036
486	989	1042
487	991	1040
488	993	1038
489	996	1036
490	1000	1037
491	1003	1035
492	1004	1033
493	1006	1031
494	1008	1028
495	1011	1027
496	1016	1028
497	1018	1026
498	1020	1024
499	1022	1022
500	1024	1020
501	1026	1018
502	1028	1016
503	1031	1015
504	1033	1013
505	1035	1011
506	1037	1008
507	1039	1006
508	1042	1005
509	1045	1004
510	1048	1003
511	1050	1001
512	1052	999
513	1054	996
514	1055	994
515	1058	992
516	1060	990
517	1062	988
518	1064	986
519	1066	984
520	1068	981
521	1070	980
522	1072	978
523	1074	976
524	1076	973
525	1078	971
526	1080	969
527	1082	968
528	1087	968
529	1089	965
530	1093	965
531	1096	964
532	1098	962
533	1102	962
534	1105	960
535	1107	958
536	1109	956
537	1111	954
538	1113	952
539	1117	951
540	1118	949
541	1120	946
542	1122	944
543	1124	942
544	1125	939
545	1127	937
546	1130	936
547	1132	934
548	1134	931
549	1136	929
550	1138	927
551	1139	925
552	1142	923
553	1143	920
554	1146	919
555	1148	916
556	1149	914
557	1151	912
558	1153	909
559	1155	907
560	1156	905
561	1158	902
562	1163	902
563	1186	917
564	1189	915
565	1195	916
566	1205	920
567	1226	932
568	1272	963
569	1314	991
570	1329	999
571	1347	1008
572	1355	1010
573	1358	1008
574	1361	1006
575	1374	1011
576	1376	1009
577	1378	1006
578	1380	1003
579	1383	1001
580	1385	999
581	1387	996
582	1389	993
583	1391	991
584	1393	988
585	1397	987
586	1399	984
587	1401	981
588	1403	979
589	1406	977
590	1408	974
591	1411	972
592	1413	970
593	1415	967
594	1418	965
595	1420	962
596	1422	960
597	1425	957
598	1427	955
599	1429	952
600	1430	950
601	1432	947
602	1434	944
603	1436	941
604	1438	939
605	1442	937
606	1444	935
607	1446	932
608	1448	930
609	1450	927
610	1454	925
611	1457	924
612	1459	921
613	1461	918
614	1463	915
615	1464	913
616	1466	910
617	1470	908
618	1472	906
619	1474	903
620	1476	901
621	1478	898
622	1479	895
623	1481	892
624	1485	891
625	1487	888
626	1489	885
627	1491	883
628	1493	880
629	1495	878
630	1499	877
631	1502	874
632	1504	872
633	1506	869
634	1508	867
635	1510	864
636	1513	862
637	1516	860
638	1518	857
639	1520	855
640	1522	852
641	1524	849
642	1526	847
643	1529	845
644	1531	842
645	1533	840
646	1534	837
647	1536	834
648	1538	832
649	1540	829
650	1544	827
651	1546	825
652	1548	822
653	1550	820
654	1553	818
655	1554	815
656	1557	813
657	1559	810
658	1563	809
659	1565	806
660	1567	803
661	1568	801
662	1571	798
663	1573	796
664	1576	793
665	1578	791
666	1579	788
667	1581	786
668	1583	783
669	1585	780
670	1587	778
671	1588	775
672	1590	772
673	1592	770
674	1594	767
675	1596	765
676	1598	762
677	1602	761
678	1604	758
679	1607	756
680	1609	753
681	1611	751
682	1615	749
683	1617	747
684	1619	744
685	1621	742
686	1622	739
687	1624	736
688	1628	734
689	1634	734
690	1639	733
